Tỉnh,count
Thành phố Hà Nội,19998
Tỉnh Nam Định,3653
Tỉnh Thái Bình,3186
Tỉnh Thanh Hóa,3076
Tỉnh Hải Dương,2879
Tỉnh Hưng Yên,2783
Tỉnh Nghệ An,2356
Tỉnh Vĩnh Phúc,2283
Thành phố Hải Phòng,2281
Tỉnh Bắc Giang,2161
Tỉnh Bắc Ninh,2115
Tỉnh Ninh Bình,1816
Tỉnh Quảng Ninh,1308
Tỉnh Thái Nguyên,1236
Tỉnh Phú Thọ,1206
Tỉnh Hà Nam,1129
Tỉnh Hà Tĩnh,699
Tỉnh Yên Bái,404
Tỉnh Sơn La,349
Tỉnh Hoà Bình,326
Tỉnh Tuyên Quang,312
Tỉnh Lào Cai,258
Tỉnh Hà Giang,187
Tỉnh Lạng Sơn,181
Tỉnh Điện Biên,143
Tỉnh Cao Bằng,125
Tỉnh Bắc Kạn,101
Tỉnh Lai Châu,75
Tỉnh Quảng Bình,74
Tỉnh Gia Lai,38
Tỉnh Kon Tum,31
Tỉnh Quảng Trị,25
Tỉnh Đắk Lắk,17
Tỉnh Thừa Thiên Huế,12
Tỉnh Lâm Đồng,8
Tỉnh Đắk Nông,8
Thành phố Đà Nẵng,7
Tỉnh Quảng Ngãi,6
Thành phố Hồ Chí Minh,6
Tỉnh Bình Định,6
Tỉnh Khánh Hòa,5
Tỉnh Kiên Giang,3
Tỉnh Quảng Nam,2
Thành phố Cần Thơ,2
Tỉnh Ninh Thuận,2
Tỉnh Bà Rịa - Vũng Tàu,1
Tỉnh Bình Phước,1
Tỉnh Phú Yên,1
Tỉnh Trà Vinh,1
